api10,DocName,DocUrl,Start,Stop,Step,Step Units,Number of Curves,CurveNameArr
507107945,LAS-DENSITY,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2253282,830,3122.7,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'NPOR', 'GR']"
507107945,LAS-INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2410058,830,3122.75,0.25,FT,5,"['DEPT', 'SN', 'SP', 'DIR', 'GR']"
507107945,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2245784,-7.05,3072.6,0.05,FT,5,"['DEPT', 'CCL', 'TT3', 'AMP3', 'GR']"
507107946,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2295967,-7.65,3097.25,0.05,FT,5,"['DEPT', 'CCL', 'TT3', 'AMP3', 'GR']"
507107946,LAS-MUD,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2343631,855,3151,1,FT,3,"['DEPTH', 'ROP', 'GAS']"
507107946,LAS-INDUCTION,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2231524,780,3152.25,0.25,FT,5,"['DEPT', 'SN', 'SP', 'DIR', 'GR']"
507107946,LAS-DENSITY,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2290074,780,3152.2,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'NPOR', 'GR']"
507107949,LAS-MUD,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2328519,951,2600,1,FT,3,"['DEPTH', 'ROP', 'GAS']"
507107953,LAS-DENSITY,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2270540,430,2417,0.1,FT,7,"['DEPT', 'DCAL', 'RHOB', 'RHOC', 'DPOR', 'NPOR', 'GR']"
507107953,LAS-CEMENT BOND,http://ogccweblink.state.co.us/DownloadDocumentPDF.aspx?DocumentId=2333113,987.5,2426,0.5,FT,5,"['DEPT', 'CCL', 'TT3', 'AMP3', 'GR']"
